Variant,AUC_NU,AUC_UN,AUC_NC,MeanAUC,F1_NU,F1_UN,F1_NC,MeanF1
baseline,0.5356497346305098,0.6112288799384098,0.5173650945094553,0.554747903026125,0.6893286602250063,0.657783842356624,0.011091652072387624,0.4527347182180059
auc_only,0.38892296355298206,0.46445774265664436,0.515536093675006,0.45630559996154413,0.5513595166163142,0.4287611946694091,0.009629147690305791,0.32991661965867636
calibration_only,0.5121931616828157,0.5925977054172529,0.5158007833318194,0.5401972168106294,0.5773759506461735,0.5901161544725901,0.011501539576163738,0.3929978815649758
full,0.39769603418383526,0.3537385068870631,0.5156265447300403,0.4223536952669796,0.5389161574676951,0.532104878642747,0.010918674698795181,0.36064657026974584
