Model,N->U,N->C,U->N,U->C,C->N,C->U
RF,0.3657599798514041,0.03260002952901225,0.6161736654334764,0.03246394963744465,0.0,0.0
CNN,0.8056121124335551,0.032269156984109745,0.29847102568987294,0.032459891766729684,0.0,0.0
CNN-LSTM,0.8099646398490576,0.0324577631660254,0.5770811776613008,0.0324577631660254,0.0,0.0
Transformer,0.804369796429087,0.03404933737598041,0.6771376833834633,0.03409260518416558,0.0,0.0
