Model,N->U,N->C,U->N,U->C,C->N,C->U
RF,0.5592767117216332,0.5053434949884673,0.6096137290378603,0.49595543720728386,0.8516359807089501,0.35130646395024107
CNN,0.6221384439936222,0.4827408346036051,0.20630866822654192,0.49160126887253836,0.5,0.5
CNN-LSTM,0.6070018350028191,0.49933757261127226,0.2673814579202468,0.46973184114319894,0.5,0.5
Transformer,0.3757773854363307,0.5230986345696341,0.6889565881169477,0.5175198886060915,0.7609956214314934,0.611206723725052
